salary,district,code,sex
94730.94,MAZOWIECKIE,Specjaliści,Kobieta
67619.39,MAZOWIECKIE,Specjaliści,Kobieta
17862.9,MAZOWIECKIE,Specjaliści,Mezczyzna
261882.46,MAZOWIECKIE,"Przedstawiciele władz publicznych, wyżsi urzędnicy i kierownicy",Mezczyzna
84540.17,MAZOWIECKIE,Specjaliści,Mezczyzna
94002.69,MAZOWIECKIE,Specjaliści,Kobieta
65349.85,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
262106.5,MAZOWIECKIE,"Przedstawiciele władz publicznych, wyżsi urzędnicy i kierownicy",Mezczyzna
49489.09,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
174714.87,MAZOWIECKIE,Specjaliści,Kobieta
34408.25,MAZOWIECKIE,Specjaliści,Mezczyzna
81040.4,MAZOWIECKIE,Specjaliści,Mezczyzna
29584.31,MAZOWIECKIE,Specjaliści,Kobieta
50642.79,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
63859.41,MAZOWIECKIE,Specjaliści,Kobieta
55334.67,MAZOWIECKIE,Specjaliści,Mezczyzna
27763.27,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
24689.47,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
27028.91,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
93116.64,MAZOWIECKIE,Specjaliści,Kobieta
59200.87,KUJAWSKO-POMORSKIE,Technicy i inny średni personel,Kobieta
37155.6,KUJAWSKO-POMORSKIE,Specjaliści,Kobieta
37931.07,MAZOWIECKIE,Specjaliści,Kobieta
48450.53,MAZOWIECKIE,Specjaliści,Mezczyzna
83602.68,MAZOWIECKIE,Specjaliści,Mezczyzna
31648.1,MAZOWIECKIE,Pracownicy biurowi,Kobieta
29950.65,MAZOWIECKIE,Specjaliści,Kobieta
69345.49,MAZOWIECKIE,Specjaliści,Mezczyzna
43549.38,MAZOWIECKIE,Specjaliści,Kobieta
104803.69,MAZOWIECKIE,Specjaliści,Mezczyzna
61663.66,MAZOWIECKIE,Specjaliści,Mezczyzna
83994.11,MAZOWIECKIE,Specjaliści,Mezczyzna
35784.85,MAZOWIECKIE,Pracownicy usług i sprzedawcy,Mezczyzna
21616.54,MAZOWIECKIE,Specjaliści,Mezczyzna
67219.09,MAZOWIECKIE,Specjaliści,Kobieta
26352.88,MAZOWIECKIE,Specjaliści,Mezczyzna
65098.43,MAZOWIECKIE,Specjaliści,Mezczyzna
47712.88,MAZOWIECKIE,Specjaliści,Kobieta
40856.47,MAZOWIECKIE,Specjaliści,Mezczyzna
4598.02,MAZOWIECKIE,Specjaliści,Kobieta
73608.59,MAZOWIECKIE,Specjaliści,Kobieta
28036.0,MAZOWIECKIE,Specjaliści,Kobieta
47801.87,MAZOWIECKIE,Specjaliści,Kobieta
57496.61,MAZOWIECKIE,Specjaliści,Mezczyzna
57120.54,MAZOWIECKIE,Specjaliści,Mezczyzna
32047.2,MAZOWIECKIE,Specjaliści,Mezczyzna
71708.31,MAZOWIECKIE,Specjaliści,Mezczyzna
36378.88,MAZOWIECKIE,Specjaliści,Mezczyzna
46809.12,MAZOWIECKIE,Specjaliści,Mezczyzna
19646.6,LODZKIE,Technicy i inny średni personel,Kobieta
34566.94,LODZKIE,Specjaliści,Kobieta
48377.76,LODZKIE,Specjaliści,Mezczyzna
70506.24,LODZKIE,Specjaliści,Mezczyzna
45120.0,LODZKIE,Specjaliści,Kobieta
53364.49,LODZKIE,Specjaliści,Mezczyzna
62328.46,LODZKIE,Specjaliści,Mezczyzna
60865.1,LODZKIE,Specjaliści,Kobieta
62170.53,LODZKIE,Specjaliści,Kobieta
50439.87,LODZKIE,Specjaliści,Mezczyzna
118891.59,LODZKIE,Specjaliści,Mezczyzna
38859.32,LODZKIE,Technicy i inny średni personel,Mezczyzna
26051.67,LODZKIE,Specjaliści,Mezczyzna
20453.82,LODZKIE,Technicy i inny średni personel,Mezczyzna
27736.86,LODZKIE,Specjaliści,Mezczyzna
